Unnamed: 0,acousticness,duration_ms,energy,instrumentalness,key,loudness,mode,speechiness,tempo,valence,song_title
0,0.0102,204600.0,0.434,0.0219,2.0,-8.795,1.0,0.431,150.062,0.286,Mask Off
1,0.199,326933.0,0.359,0.00611,1.0,-10.401,1.0,0.0794,160.083,0.588,Redbone
2,0.0344,185707.0,0.412,0.000234,5.326530612244898,-7.148,1.0,0.289,75.044,0.173,Xanny Family
3,0.604,199413.0,0.338,0.51,5.0,-15.236,1.0,0.0261,86.468,0.23,Master Of None
4,0.18,392893.0,0.561,0.512,5.0,-11.648,0.0,0.0694,174.004,0.904,Parallel Lines
5,0.12469350000000001,251333.0,0.56,0.0,8.0,-6.682,1.0,0.185,85.023,0.5132520833333333,Char
6,0.0145,241400.0,0.472,7.27e-06,1.0,-11.204,1.0,0.156,80.03,0.308,Childs Play
7,0.0202,349667.0,0.348,0.664,10.0,-7.767499999999999,0.0,0.0371,144.154,0.393,Char
8,0.0481,202853.0,0.944,0.0,11.0,-3.626,0.0,0.347,130.035,0.398,I've Seen Footage
9,0.00208,226840.0,0.603,0.0,7.0,-7.792,0.6326530612244898,0.237,99.994,0.386,Digital Animal
10,0.0572,358187.0,0.855,0.0143,5.0,-7.372,0.0,0.0548,111.951,0.524,Subways - In Flagranti Extended Edit
11,0.0915,324880.0,0.748,0.00348,10.0,-8.62,1.0,0.0494,104.322,0.642,Donme Dolap - Baris K Edit
12,0.253,356973.0,0.434,0.0619,0.0,-11.062,1.0,0.0342,127.681,0.381,Cemalim
13,0.366,243270.0,0.476,0.0,0.0,-12.686,1.0,0.114,130.007,0.367,One Night
14,0.44,247288.0,0.603,0.0,9.0,-8.317,0.0,0.0793,125.011,0.351,Oh lala
15,0.019,188333.0,0.832,0.0563,6.0,-6.637,1.0,0.163,99.988,0.317,Char
16,0.0239,270827.0,0.6483829787234042,0.0451,1.0,-4.111,1.0,0.0458,123.922,0.5132520833333333,World In Motion
17,0.233,447907.0,0.659,0.00049,4.0,-12.654,0.0,0.0429,122.415,0.842,One Nation Under a Groove
18,0.314,195429.0,0.611,0.0,1.0,-6.702,0.0,0.241,140.061,0.783,Bouncin
19,0.0242,214347.0,0.759,0.185,1.0,-6.914,0.0,0.0449,109.982,0.763,C O O L - Radio Edit
20,0.000702,249253.0,0.719,0.308,10.0,-9.335,0.0,0.0655,128.049,0.471,Percolator (Jamie Jones Vault Mix) - mixed
21,0.00024,307680.0,0.74,0.369,1.0,-4.134,1.0,0.0323,130.031,0.77,House of Jealous Lovers
22,0.118,287086.0,0.6483829787234042,0.0,9.0,-8.553,1.0,0.395,139.922,0.441,Imma Ride
23,0.000596,132760.0,0.925,1.35e-06,11.0,-1.71,0.0,0.0834,138.022,0.364,Girlfriend
24,0.279,203400.0,0.564,1.54e-05,10.0,-5.892,1.0,0.13182083333333333,94.498,0.401,If I Gave You My Love
25,0.00219,205160.0,0.795,0.269,7.0,-6.758,1.0,0.036,109.977,0.795,This Ready Flesh
26,0.341,199500.0,0.684,1.42e-06,11.0,-6.889,0.0,0.383,110.016,0.598,Lose My Mind
27,0.018,188333.0,0.837,0.0403,6.0,-6.615,1.0,0.134,100.04,0.32,Char
